,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,0,20,0.0
1,20,0.0,100,2020,-0.49
2,20,-2.0,200,4020,-0.62
3,20,0.0,300,6020,-0.39
4,20,0.0,400,8020,-0.18
5,20,-1.0,500,10020,-0.07
6,20,1.0,600,12020,-0.06
7,20,0.0,700,14020,0.21
8,20,0.0,800,16020,0.16
9,20,0.0,900,18020,0.21
10,20,2.0,1000,20020,0.17
11,20,0.0,1100,22020,0.17
12,20,1.0,1200,24020,0.21
13,20,-1.0,1300,26020,0.21
14,20,0.0,1400,28020,0.27
15,20,0.0,1500,30020,0.17
16,20,-1.0,1600,32020,0.22
17,20,1.0,1700,34020,0.13
18,20,1.0,1800,36020,0.32
19,20,0.0,1900,38020,0.36
20,20,1.0,2000,40020,0.33
21,20,1.0,2100,42020,0.22
22,20,-1.0,2200,44020,0.33
23,20,1.0,2300,46020,0.27
24,20,-1.0,2400,48020,0.32
25,20,-1.0,2500,50020,0.24
26,20,1.0,2600,52020,0.19
27,20,-1.0,2700,54020,0.26
28,20,1.0,2800,56020,0.28
29,20,1.0,2900,58020,0.21
30,20,-1.0,3000,60020,0.12
31,20,-1.0,3100,62020,0.32
32,20,0.0,3200,64020,0.43
33,20,1.0,3300,66020,0.35
34,20,-1.0,3400,68020,0.41
35,20,0.0,3500,70020,0.26
36,20,0.0,3600,72020,0.26
37,20,0.0,3700,74020,0.37
38,20,1.0,3800,76020,0.42
39,20,1.0,3900,78020,0.4
40,20,1.0,4000,80020,0.47
41,20,2.0,4100,82020,0.35
42,20,0.0,4200,84020,0.46
43,20,-1.0,4300,86020,0.47
44,20,0.0,4400,88020,0.37
45,20,0.0,4500,90020,0.42
46,20,0.0,4600,92020,0.31
47,20,1.0,4700,94020,0.46
48,20,0.0,4800,96020,0.26
49,20,0.0,4900,98020,0.52
50,20,1.0,5000,100020,0.5
